Reference, P/N,Qty,Price,Sub total,Source
"R1,2",47R / .1W / 1% / SMD 0603,2,0.1,0.2,http://www.mouser.com/ProductDetail/Vishay-Beyschlag/MCT06030C4709FP500/
"R3,4,8,12,16,95",10R / 0.125W / 1% / SMD 0603,6,0.1,0.6,http://www.mouser.com/ProductDetail/ROHM-Semiconductor/SFR03EZPF10R0/
"R10,11,14,15,18,19",10K / .1 W / 1% / SMD 0603,6,0.1,0.6,
"R33-38,58-63,83-88",150 / 0.25W / 5% / SMD 0603,18,0.17,3.06,http://www.mouser.com/ProductDetail/Vishay-Draloric/CRCW0603150RFKEAHP/
"R9,13,17",121K / 0.1W / 1% / SMD 0603,3,0.15,0.45,http://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1213V/
"R5,20-32,45-57,70-82",1K0 / 0.063W / 1% / SMD 0603,40,0.1,4,
R7,2.2K / 0.1W / 1% / SMD 0603,1,0.1,0.1,
R6,270R / 0.1W / 5% / SMD 0603,1,0.1,0.1,
"R39-44,64-69,89-94",MP930-2.00-1%,18,4.49,80.82,http://www.mouser.com/ProductDetail/Caddock/MP930-200-1/
"C1-2,5-7,8-15,18-28,31-41",100 nF / 50V/ 10% / SMD 0603,,,0,
"C3,4,16,17,29,30",10uF / 25V / 20% / SMD 1206,,,0,
J1,1241050-7,,,0,
JP1,Debug Jumper,,,0,
D1-18,EL-17-21VGC/TR8,,,0,
TH1-6,NTCS0603E3103JLT,,,0,
U1,VOS618A-2X001T,,,0,
Q1,FDN337N,,,0,
Q2-19,PMV20ENR,,,0,
IC3-5,ATA6870,3,,,
,,,,,
,,,,,
,,,,89.93,
